Cliente,Tipo de Transacao,Valor da Transacao,Valor Anterior a Transacao,Valor Apos a Transacao,Horario da Transacao,Classe
clienteF8CA19,Débito,4149.85,5872.84,1722.99,2025-05-16T19:55:48.593803,0
clienteD70853,Saque,2792.63,3593.83,801.2,2025-01-21T14:27:56.697876,0
cliente1E2579,Saque,3931.01,13366.73,9435.72,2024-02-07T13:47:30.305702,0
clienteA73BC6,Débito,3457.63,13156.3,9698.67,2023-08-14T11:49:26.049921,0
cliente9D8526,Débito,870.15,7857.38,6987.23,2025-06-17T05:10:46.028175,0
cliente6B36E9,Crédito,2357.63,4563.45,2205.82,2025-03-13T02:32:10.434575,1
clienteC145D8,Débito,2734.98,5423.02,2688.04,2025-10-10T02:31:35.975361,0
cliente9D4527,Débito,470.07,6908.26,6438.19,2024-09-07T16:38:42.551365,0
cliente5D6E70,PIX,2081.62,9840.44,7758.82,2023-05-27T10:41:18.484024,0
cliente7A0BE1,Débito,3766.2,6756.07,2989.87,2025-05-26T07:24:59.970596,0
cliente2CF505,Crédito,3646.77,12505.39,8858.62,2022-10-06T21:27:56.425262,0
cliente4AFC94,Saque,663.5,2397.65,1734.15,2025-08-12T11:20:16.805593,0
cliente36423A,PIX,2815.27,12210.05,9394.78,2023-07-01T19:41:20.314655,0
cliente69449D,Débito,3460.13,10261.48,6801.35,2024-05-04T05:16:40.442782,0
clienteA9686F,Débito,2230.02,8949.66,6719.64,2024-08-13T02:33:53.035378,1
clienteC03ACE,Crédito,2930.33,12478.75,9548.42,2023-02-17T07:26:25.628713,0
cliente6F995F,Crédito,3492.72,12524.49,9031.77,2025-01-03T02:21:34.369592,0
cliente57B612,PIX,1938.63,2302.11,363.48,2024-11-01T00:49:10.655669,0
cliente013E1A,Débito,2654.5,8581.44,5926.94,2022-06-14T23:29:13.054104,0
clienteF1BEA5,Débito,3585.29,11213.67,7628.38,2023-12-21T16:49:49.435297,0
clienteD80D0D,PIX,2688.77,3770.49,1081.72,2023-04-02T05:09:01.377486,0
cliente83F5A1,Saque,1860.17,2338.22,478.05,2022-12-15T14:04:06.459242,0
cliente0E19FC,PIX,492.96,8866.4,8373.44,2023-08-05T09:58:16.393397,0
clienteEF5F6F,Débito,4547.06,13507.16,8960.1,2025-12-09T07:50:08.721911,0
cliente020EFA,Débito,2305.31,9166.05,6860.74,2022-04-07T18:10:12.501548,0
cliente5AD368,Saque,3824.85,11541.72,7716.87,2023-11-24T12:05:35.240451,0
clienteFE08D2,PIX,611.05,9371.45,8760.4,2022-06-29T19:50:21.986597,0
cliente5925A5,Saque,1234.49,7314.76,6080.27,2025-02-06T04:04:13.220359,1
clienteB813E3,PIX,3493.4,9981.87,6488.47,2022-06-26T20:00:16.094011,0
cliente7827C2,PIX,3221.96,7349.73,4127.77,2024-02-19T09:46:36.401911,0
cliente0972C1,Saque,659.54,2669.02,2009.48,2023-02-13T21:49:24.091579,0
cliente864D03,Crédito,4334.21,13883.37,9549.16,2024-03-11T08:52:20.202928,0
cliente039181,Saque,3987.48,4495.94,508.46,2024-10-02T06:12:15.131445,0
cliente9A05A6,Saque,730.51,10427.42,9696.91,2025-08-04T02:32:47.638333,1
cliente698E38,PIX,2270.36,7135.82,4865.46,2024-08-17T15:29:38.548719,0
clienteD54E3C,Saque,3620.59,10029.69,6409.1,2022-11-10T05:01:26.128184,0
cliente1B330B,Saque,2698.32,6665.18,3966.86,2025-07-28T16:25:37.915076,0
cliente78D352,Saque,4879.9,8684.57,3804.67,2024-03-21T00:52:58.834395,0
clienteDAB28E,Saque,1703.01,6094.98,4391.97,2024-10-08T13:32:20.688259,1
cliente6BA41D,PIX,4458.14,7150.58,2692.44,2023-10-02T13:26:01.000881,0
clienteF1BC71,PIX,3023.08,8059.88,5036.8,2022-01-16T11:01:37.545170,0
clienteEBBF32,Crédito,3655.21,3760.87,105.66,2023-07-17T04:05:33.395922,1
clienteA0BA13,Débito,1410.62,9887.77,8477.15,2024-05-13T06:45:41.930278,0
clienteA3774C,Crédito,4604.57,7286.48,2681.91,2023-08-31T15:34:51.720244,0
cliente90D388,PIX,2934.4,3424.52,490.12,2023-09-03T21:41:04.241661,0
clienteF7FD0D,Saque,1690.11,2962.97,1272.86,2025-11-03T16:27:50.680792,0
cliente40B09D,Débito,2700.1,3103.1,403.0,2024-04-12T17:27:50.519616,0
cliente788462,Saque,2780.86,3941.68,1160.82,2022-03-18T13:43:25.625684,1
clienteDC8A4B,Saque,1256.66,10177.8,8921.14,2025-01-24T09:13:40.508173,0
cliente92A474,PIX,1535.11,10279.97,8744.86,2025-02-07T23:12:13.697576,0
cliente0BA742,Débito,2890.86,4232.61,1341.75,2022-10-02T05:25:03.403381,0
cliente2E6D87,PIX,474.36,4662.1,4187.74,2023-05-31T10:01:41.468002,0
clienteD32399,PIX,2110.28,2335.96,225.68,2022-10-30T04:23:28.342576,1
cliente3E6C00,PIX,575.05,8395.18,7820.13,2025-07-16T15:18:52.143622,0
clienteF847CB,Saque,679.39,8028.45,7349.06,2023-06-16T09:12:42.655138,0
clienteE21932,PIX,4104.38,11359.35,7254.97,2022-10-13T04:58:24.214753,1
cliente85EB5A,Débito,3499.84,8578.69,5078.85,2024-05-29T08:04:12.187695,0
cliente5D15B9,PIX,2734.42,9573.95,6839.53,2024-07-20T18:29:36.429590,0
clienteF7F9FA,PIX,2288.37,11990.84,9702.47,2022-11-04T18:54:57.768490,0
cliente10178D,Débito,3887.59,10203.7,6316.11,2022-03-03T06:32:39.165098,0
cliente6812E2,Saque,2155.66,8611.41,6455.75,2024-06-12T17:22:16.836980,0
cliente3B2CB6,PIX,1364.97,11119.71,9754.74,2023-10-26T21:12:01.689494,1
clienteE48C1A,Débito,3728.08,7644.34,3916.26,2022-03-30T08:48:34.501164,0
clienteF98364,Crédito,1470.43,8434.48,6964.05,2025-05-19T01:45:22.853931,0
clienteAACC3F,Saque,3721.8,12401.87,8680.07,2022-09-18T21:59:01.299417,0
cliente364168,Saque,4811.88,4900.25,88.37,2022-05-17T21:50:20.505779,0
cliente8E3675,Saque,3894.42,7781.29,3886.87,2024-12-15T23:06:30.414695,0
clienteA13B5C,PIX,3748.88,9677.4,5928.52,2022-03-25T15:19:30.180114,0
clienteD94F7D,PIX,4484.93,9370.77,4885.84,2022-04-15T22:48:04.782432,0
cliente66F678,PIX,4049.41,7643.96,3594.55,2022-08-10T11:59:34.473533,1
clienteE14B01,Saque,2375.05,7108.0,4732.95,2022-05-31T01:57:59.060758,0
cliente3F0994,Saque,1685.65,10544.12,8858.47,2023-11-03T08:03:50.093713,0
cliente35ECC5,Saque,4828.1,7291.66,2463.56,2022-01-31T13:46:40.485427,0
cliente77E10D,Saque,20.72,7493.26,7472.54,2025-12-22T12:34:41.244362,0
cliente7D4878,Débito,3702.1,8351.75,4649.65,2025-01-07T08:35:57.697462,0
cliente1BD967,Saque,2992.8,9324.12,6331.32,2025-05-29T22:30:05.233203,0
cliente3B0C04,Débito,108.96,3699.49,3590.53,2023-01-18T16:59:08.500990,0
cliente3AC535,PIX,2639.02,10012.13,7373.11,2023-05-07T12:15:42.776324,0
clienteD3F4E2,PIX,999.9,3842.93,2843.03,2022-12-06T14:11:34.844760,0
clienteC238B1,Crédito,2670.46,7187.59,4517.13,2023-07-11T11:25:12.421556,0
cliente38414A,Débito,3487.6,4356.43,868.83,2024-10-09T02:24:57.344031,0
clienteE425B4,PIX,4987.32,12507.15,7519.83,2025-03-17T09:57:05.555489,0
cliente9D4F2D,Débito,4971.72,11885.6,6913.88,2023-11-01T22:21:56.740639,1
clienteFB277B,PIX,2575.57,10726.31,8150.74,2024-08-28T08:44:12.839929,0
cliente754C9A,PIX,2905.3,6932.95,4027.65,2025-12-19T08:13:16.586088,0
cliente65F71F,Débito,1813.32,5095.96,3282.64,2022-02-27T00:38:31.354214,0
cliente367F4F,Saque,4703.33,8546.73,3843.4,2025-05-05T17:24:53.772719,0
cliente25BFFB,Crédito,662.06,4066.67,3404.61,2023-10-26T07:53:43.061733,0
cliente249DA2,Saque,4934.63,9861.02,4926.39,2023-03-28T22:03:20.264657,0
cliente0102ED,Saque,1621.09,11352.75,9731.66,2023-09-13T20:21:46.576017,0
cliente56293D,Saque,4350.62,9384.22,5033.6,2024-03-03T20:10:47.365225,0
cliente5AFC61,Saque,616.74,4275.13,3658.39,2022-01-01T02:33:49.195683,0
clienteE1F524,Débito,120.57,2759.05,2638.48,2025-10-18T23:08:02.244519,0
clienteED2065,PIX,3721.4,7565.71,3844.31,2025-06-22T05:19:41.425558,0
cliente458E22,Saque,4942.85,11035.08,6092.23,2025-02-11T11:30:26.133802,0
cliente053F81,Crédito,2630.87,8239.32,5608.45,2025-03-28T05:10:14.222100,1
cliente32390F,Crédito,4171.26,10119.88,5948.62,2023-09-03T16:42:38.028558,0
clienteE3EBC9,PIX,2330.64,5851.89,3521.25,2023-10-16T07:26:18.235609,0
clienteD6C755,Saque,2194.51,3271.12,1076.61,2025-04-17T23:21:23.608070,0
clienteAF4FAA,PIX,4221.82,7045.59,2823.77,2022-08-18T11:09:48.996144,0
clienteF2C125,Crédito,1174.54,5743.68,4569.14,2024-12-26T00:25:39.020171,1
clienteDE98B9,Crédito,2237.57,9811.45,7573.88,2024-12-29T20:22:27.545325,0
cliente11C2E2,Crédito,2000.69,4657.33,2656.64,2025-07-21T19:29:24.342932,0
clienteB867C2,Débito,2189.88,9092.67,6902.79,2023-05-02T10:08:56.554623,0
clienteBFC1B6,Saque,4049.73,4211.67,161.94,2024-01-19T21:59:23.336789,0
clienteA4F37D,PIX,4036.0,13221.25,9185.25,2024-03-24T00:09:19.492549,1
clienteAD96D1,PIX,1009.44,5197.68,4188.24,2022-10-13T08:06:52.820728,0
clienteC9A0D5,PIX,3170.72,5857.38,2686.66,2024-10-04T16:30:58.758947,0
cliente313C9F,Crédito,2669.86,5513.41,2843.55,2023-02-19T01:11:05.394393,1
cliente4A5C35,Crédito,1953.31,4754.2,2800.89,2025-11-30T15:18:00.468485,0
cliente833EC9,Saque,4735.0,14610.77,9875.77,2025-12-25T15:00:18.299110,0
clienteC529A9,Débito,1635.48,10599.42,8963.94,2022-03-22T07:36:49.338685,0
cliente13992E,PIX,1958.09,3205.04,1246.95,2023-09-13T19:13:50.341556,0
clienteE447A9,Crédito,1788.5,2353.77,565.27,2022-07-14T08:31:42.011417,0
clienteB07BF2,PIX,2701.66,7832.72,5131.06,2022-06-24T19:23:09.115314,0
cliente073E54,PIX,4982.64,7241.76,2259.12,2024-10-04T00:22:56.915234,0
cliente59CF1B,Débito,4823.43,14570.23,9746.8,2023-07-30T00:35:17.699294,1
clienteB517EB,Crédito,4361.24,7396.45,3035.21,2024-04-07T13:35:30.808007,0
clienteDCBBC9,Débito,1427.58,2601.75,1174.17,2023-07-05T15:11:26.369634,0
clienteEBC559,PIX,2016.26,9757.2,7740.94,2022-01-11T04:21:27.714387,0
clienteD49607,Saque,4190.43,7597.17,3406.74,2024-03-29T19:13:43.969333,0
cliente03D86B,PIX,2508.6,10810.13,8301.53,2023-05-11T14:09:58.131532,0
cliente9547DA,Débito,2155.33,7628.82,5473.49,2022-03-31T13:52:39.026990,0
cliente8911D8,Crédito,4453.8,13042.1,8588.3,2022-01-23T16:03:48.741971,0
cliente004B83,Saque,948.03,5053.67,4105.64,2024-08-11T12:59:34.295467,0
clienteCEDB73,Débito,957.91,3764.93,2807.02,2022-12-25T21:09:28.930062,0
cliente74BD41,Saque,1289.99,9060.47,7770.48,2022-01-22T15:54:04.411547,0
cliente133A68,Crédito,3159.94,5698.83,2538.89,2023-11-26T17:58:44.849987,0
cliente747175,PIX,4683.59,5180.5,496.91,2023-03-10T15:31:04.528569,0
cliente368740,Débito,3991.59,10449.45,6457.86,2023-10-31T06:14:39.922430,0
clienteE0BBDA,Saque,4771.85,14411.03,9639.18,2024-09-19T00:08:57.194670,0
clienteCE7476,Crédito,3558.19,4973.15,1414.96,2023-07-24T03:54:33.131419,0
cliente3B4BA8,Débito,4685.36,6814.38,2129.02,2022-05-15T19:14:05.248575,0
cliente6BDB71,Saque,40.08,6566.68,6526.6,2022-12-10T17:42:23.574864,0
clienteEA0133,Débito,3070.7,5825.44,2754.74,2022-11-28T10:31:36.964105,0
cliente0BE988,PIX,216.29,7574.66,7358.37,2022-03-06T12:36:35.561492,0
cliente6998C3,Débito,2501.03,5252.15,2751.12,2025-04-13T02:55:13.683796,1
cliente514ECE,Débito,3639.96,13041.87,9401.91,2022-04-16T02:15:47.951330,0
cliente7035CA,Saque,3122.77,12930.44,9807.67,2025-08-27T22:15:23.966155,0
cliente7E1E36,PIX,816.75,5588.3,4771.55,2024-06-19T00:11:41.046847,0
cliente768497,Crédito,1697.62,6406.92,4709.3,2024-03-23T18:20:02.270544,0
cliente32A7B5,PIX,4174.6,9999.41,5824.81,2024-07-23T15:38:09.773937,0
cliente44281B,Débito,3066.63,8524.26,5457.63,2024-08-15T09:52:17.283212,0
cliente0C20CD,Saque,3800.16,5256.77,1456.61,2022-07-20T00:31:52.574704,1
clienteD0F6AE,PIX,1623.81,5326.1,3702.29,2024-10-03T02:06:18.157039,0
cliente1CB8D4,PIX,1941.89,4004.41,2062.52,2024-07-12T06:09:39.050594,0
clienteCB82C4,Crédito,1452.73,7011.28,5558.55,2024-07-18T16:03:16.868892,1
cliente98A83E,Débito,2828.38,8020.23,5191.85,2023-07-04T21:38:53.130961,1
cliente80B3F4,PIX,1664.34,6093.26,4428.92,2022-05-02T22:34:31.053799,0
cliente6097EA,Crédito,4275.91,9670.8,5394.89,2023-09-22T17:50:47.139917,0
cliente34EC48,Saque,726.69,7636.55,6909.86,2023-08-14T06:07:25.456390,0
cliente52276C,Crédito,1000.71,4693.09,3692.38,2024-06-13T03:48:09.179829,0
clienteDE6431,PIX,3802.67,10052.49,6249.82,2024-12-08T17:52:32.368746,0
cliente9CFFA7,Saque,3747.74,7128.69,3380.95,2025-06-10T20:26:52.229106,0
cliente4FC9B7,Saque,2387.18,6248.53,3861.35,2022-05-03T23:17:03.021597,0
cliente80D086,Débito,1026.02,6822.7,5796.68,2025-10-22T04:19:31.157536,0
cliente5C6375,Débito,1381.03,9849.28,8468.25,2022-02-27T21:13:09.918066,0
cliente7B65CC,Débito,1906.47,8805.18,6898.71,2022-12-09T01:17:42.454557,0
cliente89D3F3,Saque,3360.28,11855.65,8495.37,2024-09-15T23:01:32.268808,0
cliente9BD5B6,Saque,2161.14,6016.83,3855.69,2023-03-28T09:36:15.896624,1
cliente183582,Crédito,3605.87,13271.79,9665.92,2022-04-13T05:50:58.823963,0
cliente056CD9,PIX,3829.55,11723.65,7894.1,2022-12-23T04:06:09.341074,1
clienteEE0B5F,Débito,1112.43,6642.37,5529.94,2024-11-24T17:24:26.381017,0
cliente693836,Crédito,4759.42,10755.12,5995.7,2025-12-16T20:46:57.680725,0
cliente073589,Crédito,2696.05,7935.02,5238.97,2022-02-14T19:42:30.366919,0
cliente577A6A,Saque,1496.02,9926.81,8430.79,2022-01-23T06:38:27.737384,0
cliente5745C8,Crédito,4177.51,9854.95,5677.44,2024-08-30T06:40:05.178453,0
cliente644392,Saque,1438.47,3450.34,2011.87,2023-07-31T16:13:51.206459,0
clienteA0E7DD,Crédito,2354.78,7069.62,4714.84,2024-09-08T18:51:49.496204,0
cliente7DCD21,Crédito,4032.05,4471.58,439.53,2022-12-04T10:31:37.388566,0
cliente06008E,PIX,1688.53,5319.39,3630.86,2025-10-03T05:24:28.913932,0
cliente5113B9,Saque,1275.54,5598.2,4322.66,2022-04-15T23:40:00.347052,0
cliente4E60EB,PIX,139.54,9674.69,9535.15,2024-10-01T02:59:32.662725,0
clienteA58B5E,Débito,3120.04,8219.97,5099.93,2024-12-02T09:24:20.458394,0
cliente712AB1,Crédito,1892.19,7059.51,5167.32,2025-01-29T23:37:50.557342,0
clienteAAF9D2,PIX,4317.86,4454.36,136.5,2025-01-03T13:58:49.739270,0
cliente41F8CA,Débito,3909.43,8981.44,5072.01,2025-05-16T22:37:54.774484,0
clienteC8402C,Crédito,4736.17,13773.39,9037.22,2025-04-01T23:38:02.979588,0
cliente7B3EDA,Crédito,3693.35,9306.95,5613.6,2024-02-15T16:16:58.989477,0
cliente5C86C3,Débito,4288.71,6516.55,2227.84,2024-02-27T02:09:58.939504,0
clienteE72DBF,PIX,1034.88,6823.51,5788.63,2024-06-01T05:40:15.534695,0
cliente31DCCC,Débito,3228.44,6972.5,3744.06,2022-08-23T10:42:45.240866,0
clienteC20392,Débito,279.88,2623.2,2343.32,2024-12-30T02:26:01.183313,1
clienteFA9AD8,Débito,4017.38,8073.37,4055.99,2025-10-03T23:03:51.666706,1
cliente31A916,Débito,769.83,5890.85,5121.02,2023-07-10T10:11:31.879264,0
clienteFEF653,Crédito,4354.38,7534.45,3180.07,2025-12-08T09:42:37.845816,0
clienteC3F405,PIX,1975.91,2404.41,428.5,2022-11-21T03:11:28.477047,0
clienteFD021E,Crédito,843.31,2775.51,1932.2,2025-06-05T23:44:43.455689,0
clienteE1A4DD,Débito,1566.94,5115.88,3548.94,2024-10-19T22:59:06.542689,0
cliente5C780E,PIX,469.51,660.31,190.8,2022-08-10T09:40:31.725195,0
clienteD12DC3,Saque,4779.51,14490.33,9710.82,2023-09-14T17:56:28.501216,0
cliente0A4FF5,Saque,41.36,6618.08,6576.72,2024-01-17T10:30:27.690423,0
cliente09D378,Débito,2730.99,8145.96,5414.97,2025-08-16T22:57:11.401056,0
cliente19D4D3,PIX,1237.78,7999.23,6761.45,2025-05-23T22:08:03.809041,1
cliente7982AE,Crédito,3631.8,7863.29,4231.49,2023-03-07T07:48:54.734420,0
clienteC56DE3,PIX,4783.26,13965.37,9182.11,2024-06-16T05:17:44.881735,1
cliente5B5056,Débito,250.46,9734.62,9484.16,2025-10-07T14:45:14.788320,0
cliente028065,Saque,3746.36,7281.38,3535.02,2022-05-04T10:00:18.674886,1
cliente0C104B,PIX,3127.56,5738.38,2610.82,2023-10-30T20:41:40.623866,1
cliente459AB6,Saque,1301.49,11190.04,9888.55,2024-02-26T05:02:55.933984,1
clienteCF5851,PIX,3377.88,3404.63,26.75,2022-11-23T20:38:50.410514,0
clienteE669D8,PIX,429.86,8733.38,8303.52,2023-12-24T22:05:27.242085,0
cliente3F1587,Saque,279.44,4673.87,4394.43,2022-08-30T12:45:43.577895,0
cliente529084,PIX,4778.88,10474.34,5695.46,2025-06-07T04:25:05.804566,1
cliente11D7F7,Saque,3095.54,6677.9,3582.36,2024-03-01T01:17:58.597934,0
clienteB92222,PIX,1467.08,6414.5,4947.42,2024-08-04T16:32:52.867834,0
clienteE5CB58,Débito,4701.76,14549.71,9847.95,2024-11-10T02:58:48.921387,0
cliente1ACBA0,PIX,754.55,4907.95,4153.4,2025-06-30T20:52:34.542418,0
cliente639547,PIX,86.84,5584.86,5498.02,2024-12-29T10:36:57.255272,0
cliente6C80C0,Débito,2012.81,3332.62,1319.81,2023-03-23T05:21:12.844718,0
clienteA84807,Crédito,4292.73,11217.95,6925.22,2024-09-04T11:57:25.279987,0
clienteC5D63E,Crédito,4603.94,8075.27,3471.33,2022-10-13T01:16:04.810346,0
cliente5E8A0F,Crédito,2128.04,10699.07,8571.03,2022-07-07T11:56:14.991022,0
cliente504A9F,Crédito,322.48,9697.76,9375.28,2022-06-10T01:52:55.502451,0
clienteB8A1B3,PIX,4454.97,6296.56,1841.59,2024-02-17T12:38:29.479456,0
cliente0BA9E7,Débito,4813.44,6723.3,1909.86,2025-12-31T21:58:38.970400,0
cliente8B9470,Débito,2830.84,9610.35,6779.51,2024-01-05T03:22:16.751176,1
clienteF4D65F,Crédito,3517.02,11682.2,8165.18,2025-10-16T06:31:24.193844,1
cliente0606D5,Débito,130.76,6853.56,6722.8,2025-06-27T11:00:48.066562,0
cliente874876,Saque,3339.1,12830.93,9491.83,2022-10-13T01:29:23.872648,0
cliente277085,PIX,3614.53,8013.12,4398.59,2024-08-24T05:13:15.958696,0
clienteE91452,Saque,3826.25,10576.84,6750.59,2025-06-18T17:40:18.353868,0
cliente7A501E,Crédito,3196.33,4666.59,1470.26,2024-04-16T00:57:11.299720,0
cliente2323C4,Crédito,3050.99,12072.38,9021.39,2024-06-28T15:23:04.899736,0
cliente39A0F8,Débito,773.0,2666.07,1893.07,2022-05-05T21:10:00.823410,0
cliente273B12,Crédito,3890.33,5608.87,1718.54,2023-10-09T13:22:18.956174,0
cliente4CD966,Saque,4113.81,4200.69,86.88,2025-08-15T23:46:12.970032,0
clienteCD2168,PIX,2737.02,4684.65,1947.63,2023-10-21T05:31:16.659276,0
cliente75A3A2,Débito,4630.94,11461.69,6830.75,2024-06-15T23:06:02.885964,0
cliente499FC6,Saque,3657.58,8679.35,5021.77,2025-03-04T22:41:53.083806,0
cliente8CFB3D,Saque,1960.62,4615.97,2655.35,2023-03-15T04:47:04.135724,0
cliente173DD2,PIX,3846.55,8296.19,4449.64,2025-03-11T21:09:25.243068,0
cliente6AE09B,Débito,4265.76,4591.24,325.48,2023-08-22T23:26:10.473541,0
cliente110D92,Saque,2601.05,4057.1,1456.05,2023-02-21T07:50:03.429704,0
clienteBD49F6,Saque,3896.43,11949.06,8052.63,2023-10-19T21:57:13.713742,0
cliente44684F,Saque,2919.01,6703.54,3784.53,2025-10-16T00:03:52.648376,0
cliente222D4B,PIX,4468.63,13641.33,9172.7,2025-08-01T01:47:52.088194,0
cliente137700,Saque,2997.12,5135.66,2138.54,2023-05-06T02:58:55.524341,0
clienteF8C7F7,PIX,3702.86,6476.78,2773.92,2023-10-12T18:55:05.613390,1
clienteA61DC8,PIX,2947.03,6795.06,3848.03,2025-05-22T08:45:39.089553,0
cliente9D5DD9,Crédito,838.47,5456.97,4618.5,2023-03-21T11:19:54.452437,0
cliente34797B,PIX,461.18,7665.84,7204.66,2025-01-13T14:47:26.358932,0
clienteC3FDBF,PIX,4361.87,5648.09,1286.22,2025-02-19T00:55:50.232450,0
cliente88D24A,Saque,887.04,3196.02,2308.98,2024-01-26T14:57:41.746915,0
cliente90F170,Saque,2883.43,10520.0,7636.57,2022-09-27T15:59:14.643578,0
